path,before_bytes,after_bytes,after_path,action
"Google x Freeletics/Bento/Day_13_rest_day_5_recipe.png",201487,201487,"Google x Freeletics/Bento/Day_13_rest_day_5_recipe.png",error: [Errno 1] Operation not permitted: '/sessions/upbeat-funny-lovelace/mnt/Portfolio Website/Imagery/Google x Freeletics/Bento/Day_13_rest_day_5_recipe.png'
"Google x Freeletics/Bento/ChallengeDay_Burpees.png",493445,493445,"Google x Freeletics/Bento/ChallengeDay_Burpees.png",error: [Errno 1] Operation not permitted: '/sessions/upbeat-funny-lovelace/mnt/Portfolio Website/Imagery/Google x Freeletics/Bento/ChallengeDay_Burpees.png'
"Google x Freeletics/Bento/Day_10_rest_day_4_playlist.png",2539123,2539123,"Google x Freeletics/Bento/Day_10_rest_day_4_playlist.png",error: [Errno 1] Operation not permitted: '/sessions/upbeat-funny-lovelace/mnt/Portfolio Website/Imagery/Google x Freeletics/Bento/Day_10_rest_day_4_playlist.png'
"Google x Freeletics/Bento/ChallengeDay_JumpingJacks.png",475069,475069,"Google x Freeletics/Bento/ChallengeDay_JumpingJacks.png",error: [Errno 1] Operation not permitted: '/sessions/upbeat-funny-lovelace/mnt/Portfolio Website/Imagery/Google x Freeletics/Bento/ChallengeDay_JumpingJacks.png'
"Google x Freeletics/Bento/Day_2_rest_day_1_article.png",145570,145570,"Google x Freeletics/Bento/Day_2_rest_day_1_article.png",error: [Errno 1] Operation not permitted: '/sessions/upbeat-funny-lovelace/mnt/Portfolio Website/Imagery/Google x Freeletics/Bento/Day_2_rest_day_1_article.png'
"Google x Freeletics/Bento/Day_10_rest_day_3_.png",136395,136395,"Google x Freeletics/Bento/Day_10_rest_day_3_.png",error: [Errno 1] Operation not permitted: '/sessions/upbeat-funny-lovelace/mnt/Portfolio Website/Imagery/Google x Freeletics/Bento/Day_10_rest_day_3_.png'
"Google x Freeletics/Bento/results_gold.png",14103,14103,"Google x Freeletics/Bento/results_gold.png",error: [Errno 1] Operation not permitted: '/sessions/upbeat-funny-lovelace/mnt/Portfolio Website/Imagery/Google x Freeletics/Bento/results_gold.png'
"Google x Freeletics/Bento/title_warmup.png",520073,520073,"Google x Freeletics/Bento/title_warmup.png",error: [Errno 1] Operation not permitted: '/sessions/upbeat-funny-lovelace/mnt/Portfolio Website/Imagery/Google x Freeletics/Bento/title_warmup.png'
"Google x Freeletics/Bento/Day_5_rest_day_2_article.png",108803,108803,"Google x Freeletics/Bento/Day_5_rest_day_2_article.png",error: [Errno 1] Operation not permitted: '/sessions/upbeat-funny-lovelace/mnt/Portfolio Website/Imagery/Google x Freeletics/Bento/Day_5_rest_day_2_article.png'
"Google x Freeletics/Bento/Day_13_rest_day_5_playlist.png",4085877,4085877,"Google x Freeletics/Bento/Day_13_rest_day_5_playlist.png",error: [Errno 1] Operation not permitted: '/sessions/upbeat-funny-lovelace/mnt/Portfolio Website/Imagery/Google x Freeletics/Bento/Day_13_rest_day_5_playlist.png'
"Google x Freeletics/Bento/Day_5_rest_day_2_playlist.png",2789051,2789051,"Google x Freeletics/Bento/Day_5_rest_day_2_playlist.png",error: [Errno 1] Operation not permitted: '/sessions/upbeat-funny-lovelace/mnt/Portfolio Website/Imagery/Google x Freeletics/Bento/Day_5_rest_day_2_playlist.png'
"Google x Freeletics/Bento/Day_13_rest_day_5_article.png",91578,91578,"Google x Freeletics/Bento/Day_13_rest_day_5_article.png",error: [Errno 1] Operation not permitted: '/sessions/upbeat-funny-lovelace/mnt/Portfolio Website/Imagery/Google x Freeletics/Bento/Day_13_rest_day_5_article.png'
"Google x Freeletics/Bento/Day_8_rest_day_3_video.png",123988,123988,"Google x Freeletics/Bento/Day_8_rest_day_3_video.png",error: [Errno 1] Operation not permitted: '/sessions/upbeat-funny-lovelace/mnt/Portfolio Website/Imagery/Google x Freeletics/Bento/Day_8_rest_day_3_video.png'
"Google x Freeletics/Bento/title_challenge.png",796587,796587,"Google x Freeletics/Bento/title_challenge.png",error: [Errno 1] Operation not permitted: '/sessions/upbeat-funny-lovelace/mnt/Portfolio Website/Imagery/Google x Freeletics/Bento/title_challenge.png'
"Google x Freeletics/Bento/title_intro.png",37003,37003,"Google x Freeletics/Bento/title_intro.png",error: [Errno 1] Operation not permitted: '/sessions/upbeat-funny-lovelace/mnt/Portfolio Website/Imagery/Google x Freeletics/Bento/title_intro.png'
"Google x Freeletics/Bento/Day_5_rest_day_2_video.png",186006,186006,"Google x Freeletics/Bento/Day_5_rest_day_2_video.png",error: [Errno 1] Operation not permitted: '/sessions/upbeat-funny-lovelace/mnt/Portfolio Website/Imagery/Google x Freeletics/Bento/Day_5_rest_day_2_video.png'
"Google x Freeletics/Bento/ChallengeDay_Lunges.png",484386,484386,"Google x Freeletics/Bento/ChallengeDay_Lunges.png",error: [Errno 1] Operation not permitted: '/sessions/upbeat-funny-lovelace/mnt/Portfolio Website/Imagery/Google x Freeletics/Bento/ChallengeDay_Lunges.png'
"Google x Freeletics/Bento/Day_8_rest_day_3_recipe.png",160877,160877,"Google x Freeletics/Bento/Day_8_rest_day_3_recipe.png",error: [Errno 1] Operation not permitted: '/sessions/upbeat-funny-lovelace/mnt/Portfolio Website/Imagery/Google x Freeletics/Bento/Day_8_rest_day_3_recipe.png'
"Google x Freeletics/Bento/title_workout.png",520471,520471,"Google x Freeletics/Bento/title_workout.png",error: [Errno 1] Operation not permitted: '/sessions/upbeat-funny-lovelace/mnt/Portfolio Website/Imagery/Google x Freeletics/Bento/title_workout.png'
"Google x Freeletics/Bento/Day_13_rest_day_5_training.png",138814,138814,"Google x Freeletics/Bento/Day_13_rest_day_5_training.png",error: [Errno 1] Operation not permitted: '/sessions/upbeat-funny-lovelace/mnt/Portfolio Website/Imagery/Google x Freeletics/Bento/Day_13_rest_day_5_training.png'
"Google x Freeletics/Bento/Day_8_rest_day_3_recipe copy 2.png",120323,120323,"Google x Freeletics/Bento/Day_8_rest_day_3_recipe copy 2.png",error: [Errno 1] Operation not permitted: '/sessions/upbeat-funny-lovelace/mnt/Portfolio Website/Imagery/Google x Freeletics/Bento/Day_8_rest_day_3_recipe copy 2.png'
"Google x Freeletics/Bento/Day_8_rest_day_3_recipe copy.png",139980,139980,"Google x Freeletics/Bento/Day_8_rest_day_3_recipe copy.png",error: [Errno 1] Operation not permitted: '/sessions/upbeat-funny-lovelace/mnt/Portfolio Website/Imagery/Google x Freeletics/Bento/Day_8_rest_day_3_recipe copy.png'
"Google x Freeletics/Bento/Day_8_rest_day_3_playlist.png",1980738,1980738,"Google x Freeletics/Bento/Day_8_rest_day_3_playlist.png",error: [Errno 1] Operation not permitted: '/sessions/upbeat-funny-lovelace/mnt/Portfolio Website/Imagery/Google x Freeletics/Bento/Day_8_rest_day_3_playlist.png'
"Google x Freeletics/Bento/Day_2_rest_day_1_playlist.png",2961571,2961571,"Google x Freeletics/Bento/Day_2_rest_day_1_playlist.png",error: [Errno 1] Operation not permitted: '/sessions/upbeat-funny-lovelace/mnt/Portfolio Website/Imagery/Google x Freeletics/Bento/Day_2_rest_day_1_playlist.png'
"Google x Freeletics/Bento/results_bronze.png",14665,14665,"Google x Freeletics/Bento/results_bronze.png",error: [Errno 1] Operation not permitted: '/sessions/upbeat-funny-lovelace/mnt/Portfolio Website/Imagery/Google x Freeletics/Bento/results_bronze.png'
"Google x Freeletics/Bento/Day_5_rest_day_2_recipe.png",180057,180057,"Google x Freeletics/Bento/Day_5_rest_day_2_recipe.png",error: [Errno 1] Operation not permitted: '/sessions/upbeat-funny-lovelace/mnt/Portfolio Website/Imagery/Google x Freeletics/Bento/Day_5_rest_day_2_recipe.png'
"Google x Freeletics/Bento/Day_2_rest_day_1_video.png",131891,131891,"Google x Freeletics/Bento/Day_2_rest_day_1_video.png",error: [Errno 1] Operation not permitted: '/sessions/upbeat-funny-lovelace/mnt/Portfolio Website/Imagery/Google x Freeletics/Bento/Day_2_rest_day_1_video.png'
